keyword,frequency
computer science,1024
health care,683
medicine,620
political science,526
artificial intelligence,517
law,502
psychology,502
economics,376
economic growth,338
data science,311
knowledge management,262
computer security,260
engineering,239
business,227
pathology,224
world wide web,216
nursing,211
operating system,188
pedagogy,182
biology,181
health literacy,170
digital health,170
machine learning,158
medical education,151
literacy,140
disease,139
internet privacy,129
mathematics,129
public relations,127
sociology,122
philosophy,119
coronavirus disease 2019 (covid-19),118
infectious disease (medical specialty),118
social psychology,110
psychiatry,102
context (archaeology),102
environmental health,100
psychological intervention,98
paleontology,94
public health,94
human–computer interaction,94
big data,92
pandemic,92
transparency (behavior),85
the internet,83
embedded system,81
data mining,78
physics,78
engineering ethics,76
programming language,71
internal medicine,69
population,68
internet of things,68
mental health,66
medline,65
telemedicine,63
epistemology,62
linguistics,61
wearable computer,60
telecommunications,60
risk analysis (engineering),59
cloud computing,58
social science,57
marketing,57
digital literacy,55
database,54
quantum mechanics,50
computer network,49
applied psychology,48
neuroscience,47
mechanical engineering,47
social media,45
pure mathematics,45
field (mathematics),44
process (computing),44
geography,44
ehealth,44
blockchain,43
mathematical analysis,43
archaeology,42
applications of artificial intelligence,42
alternative medicine,42
statistics,41
wearable technology,41
gerontology,40
family medicine,40
deep learning,38
management science,38
electrical engineering,37
finance,36
quality (philosophy),35
software deployment,35
workflow,34
materials science,34
psychotherapist,33
systematic review,32
perception,31
trustworthiness,31
power (physics),31
interpretability,31
decision support system,29
software engineering,29
clinical psychology,29
key (lock),29
perspective (graphical),28
bioinformatics,28
chatbot,27
health informatics,27
wireless,27
generative grammar,27
nanotechnology,26
government (linguistics),26
severe acute respiratory syndrome coronavirus 2 (sars-cov-2),26
robot,26
information and communications technology,25
set (abstract data type),25
process management,25
transformative learning,25
virology,24
2019-20 coronavirus outbreak,24
outbreak,24
domain (mathematical analysis),24
chemistry,24
scopus,24
reliability (semiconductor),24
curriculum,24
intensive care medicine,24
health equity,23
work (physics),23
developmental psychology,23
healthcare system,23
mhealth,23
communication,23
information privacy,23
cross-sectional study,22
equity (law),21
variety (cybernetics),21
botany,21
clinical decision support system,21
accountability,21
digital divide,20
telehealth,20
precision medicine,20
virtual reality,20
cognitive psychology,20
distributed computing,20
art,20
information literacy,19
artificial neural network,19
autonomy,19
identification (biology),18
leverage (statistics),18
qualitative research,18
health professionals,18
genetics,18
systems engineering,18
ecology,18
algorithm,18
biochemistry,17
library science,17
scale (ratio),17
multimedia,17
intervention (counseling),17
data sharing,17
analytics,17
metaverse,17
scalability,16
demography,16
health communication,16
mathematics education,16
corporate governance,16
structural equation modeling,16
history,16
composite material,16
gene,15
cinahl,15
black box,15
digital transformation,15
service (business),15
medical emergency,15
politics,14
confidentiality,14
radiology,14
value (mathematics),14
anxiety,14
optics,14
encryption,14
edge computing,14
inclusion (mineral),14
cognition,14
macroeconomics,14
health education,14
authentication (law),14
misinformation,13
emerging technologies,13
visual arts,13
usability,13
management,13
relevance (law),12
thematic analysis,12
personalized medicine,12
workforce,12
test (biology),12
social distance,12
health promotion,12
popularity,12
health policy,12
electronics,12
decision tree,11
patient safety,11
protocol (science),11
automation,11
scope (computer science),11
enhanced data rates for gsm evolution,11
