topic_id,title,authors,pub_year,journal,topic_score
0,The potential of digital health technologies in saving nursing resources: A scoping review.,"Stiel HEM, Virtanen L, Bakker MM, Heponiemi T, Kainiemi E, Kaihlanen AM",2026,International journal of nursing studies,0.99595624
0,Mapping research trends and competency domains in nursing-related digital and artificial intelligence technologies: A bibliometric analysis.,"Phanphairoj K, Wisesrith W, Chumwichan S",2026,International journal of nursing sciences,0.9941699
1,Gut-brain axis-mediated mechanisms and immune regulatory pathways in vascular dementia: Insights into microbiota-derived metabolites and novel therapeutic strategies.,"Qiao X, Yang M, Liu H, Ye Z, Sun B",2026,Behavioural brain research,0.9944431
1,Immunomodulatory Mechanisms of Rehmanniae Radix Praeparata-Achyranthes Root-Chinese Angelica Root Combination in Nontraumatic Osteonecrosis of the Femoral Head: A Comprehensive Network Pharmacology and Molecular Docking Study Focusing on Immunological Pathways.,"Li X, Ng L, Liu C, Qin L, Xiao P, Liu C, Liu Y, Zhang Q, Huang W, Zhou Y, Liu W",2025,Mediators of inflammation,0.99406123
2,Association Between Online Reviews of Substance Use Disorder Treatment Facilities and Drug-Induced Mortality Rates: Cross-Sectional Analysis.,"Abrams MP, Merchant RM, Meisel ZF, Pelullo AP, Chandra Guntuku S, Agarwal AK",2023,JMIR AI,0.99624425
2,COVID-19 vaccination uptake for half a million non-EU migrants and refugees in England: a linked retrospective population-based cohort study.,"Burns R, Campos-Matos I, Harron K, Aldridge RW",2022,"Lancet (London, England)",0.9944755
3,Exploring the Role of the Rich Club in Network Control of Neurocognitive States.,"Podschun AN, Betzel RF, Braun U, Markett S",2026,Human brain mapping,0.99417025
3,Towards collaborative data science in mental health research: The ECNP neuroimaging network accessible data repository.,"Khuntia A, Buciuman MO, Fanning J, Stolicyn A, Vetter C, Armio RL, From T, Goffi F, Hahn L, Kaufmann T, Laurikainen H, Maggioni E, Martinez-Zalacain I, Ruef A, Dong MS, Schwarz E, Squarcina L, Andreassen O, Bellani M, Brambilla P, Haren NV, Hietala J, Lawrie SM, Soriano-Mas C, Whalley H, Taquet M, Meisenzahl E, Falkai P, Wiegand A, Koutsouleris N, ECNP Neuroimaging Network",2024,Neuroscience applied,0.99251777
4,From PrEP-Related Mistrust to Trusted Prevention Ecosystems: Implementation Priorities Following Simon et al. and Jaiswal et al.,"Vijayasimha M, Srikanth M",2026,AIDS and behavior,0.9935345
4,Engagement marketing for social good: Application to the All of Us Research Program.,"Lewis MA, Uhrig JD, Adams ET, Brown JA, Sanders A, RTI International All of Us Innovator Team",2022,Frontiers in genetics,0.99201435
5,"Ethnic and racial differences in self-reported symptoms, health status, activity level, and missed work at 3 and 6 months following SARS-CoV-2 infection.","O'Laughlin KN, Klabbers RE, Ebna Mannan I, Gentile NL, Geyer RE, Zheng Z, Yu H, Li SX, Chan KCG, Spatz ES, Wang RC, L'Hommedieu M, Weinstein RA, Plumb ID, Gottlieb M, Huebinger RM, Hagen M, Elmore JG, Hill MJ, Kelly M, McDonald S, Rising KL, Rodriguez RM, Venkatesh A, Idris AH, Santangelo M, Koo K, Saydah S, Nichol G, Stephens KA, INSPIRE Group",2023,Frontiers in public health,0.99374914
5,Biologically Inspired Digital Histology for Deep Phenotyping of Placental Composition Changes Across Major Lesion Types.,"Walker EC, Vanea C, Meir K, Hochner-Celnikier D, Hochner H, Laisk T, Lindgren C, Glastonbury CA, Ernst LM, Nellaker C",2025,bioRxiv : the preprint server for biology,0.9936228
6,Sustained engagement with a digital youth mental health platform: A mixed-methods study.,"Valentine L, Nicholas J, Sorenson R, Chen NA, McEnery C, Louis S, Cross S, Mangelsdorf SN, O'Sullivan S, Wren TW, Bucci S, Gleeson J, Bendall S, Alvarez-Jimenez M",2026,Internet interventions,0.99434394
6,"Do Environmental Degradation, ICT, Health Expenditure, and Institutional Quality Affect Life Expectancy?","Zhang H, Shao Q, Uddin I, Zhang X",2026,American journal of men's health,0.9937063
7,Task sharing for increasing access to obstetric ultrasonography: a formative qualitative study of nurse-led scanning with telemedicine review in Kenya.,"Kumar MB, Mulongo CM, Pincerato L, De Vita MV, Saidi S, Gakii Y, Morino G, Kumar P",2024,Oxford open digital health,0.9942056
7,IO1-UK: a cross-sectional study to re-evaluate the provision of interventional oncology services across the United Kingdom.,"Velazquez-Pimentel D, Pancholi J, Jenkins P, Cinti N, Stephanou M, Kotecha D, White A, Ashraf S, Llewellyn O, Vigneswaran G, Shiwani H, Zhong J, Alcorn D, Breen DJ, Haslam P, Hickson G, Jaffer O, Kennedy P, Littler P, Peddu P, Railton N, Wah TM",2025,Clinical radiology,0.9920139
8,"COVID-19 machine learning model predicts outcomes in older patients from various European countries, between pandemic waves, and in a cohort of Asian, African, and American patients.","Mamandipoor B, Bruno RR, Wernly B, Wolff G, Fjølner J, Artigas A, Pinto BB, Schefold JC, Kelm M, Beil M, Sigal S, Leaver S, De Lange DW, Guidet B, Flaatten H, Szczeklik W, Jung C, Osmani V",2022,PLOS digital health,0.9959391
8,Machine Learning for the Prediction of Procedural Case Durations Developed Using a Large Multicenter Database: Algorithm Development and Validation Study.,"Kendale S, Bishara A, Burns M, Solomon S, Corriere M, Mathis M",2023,JMIR AI,0.9954314
9,Gender differences in juvenile systemic sclerosis patients: Results from the international juvenile scleroderma inception cohort.,"Foeldvari I, Klotsche J, Kasapcopur O, Adrovic A, Terreri MT, Sakamoto AP, Stanevicha V, Anton J, Feldman BM, Sztajnbok F, Khubchandani R, Alexeeva E, Katsicas M, Sawhney S, Smith V, Appenzeller S, Avcin T, Kostik M, Lehman T, Marrani E, Schonenberg-Meinema D, Sifuentes-Giraldo WA, Vasquez-Canizares N, Janarthanan M, Moll M, Nemcova D, Patwardhan A, Santos MJ, Battagliotti C, Berntson L, Bica B, Brunner J, Cimaz R, Costa-Reis P, Eleftheriou D, Harel L, Horneff G, Johnson SR, Kaiser D, Kallinich T, Lazarevic D, Minden K, Nielsen S, Nuruzzaman F, Opsahl Hetlevik S, Uziel Y, Helmus N, Torok KS",2022,Journal of scleroderma and related disorders,0.9929094
9,Cardio-kidney-metabolic protective effects of semaglutide across the spectrum of chronic kidney disease.,"Economos H, MacIsaac RJ",2025,World journal of nephrology,0.99201566
10,BEnchmarking Large Language Models for Ophthalmology (BELO): An Expert-Curated Data Set and Evaluation Framework for Knowledge and Reasoning.,"Srinivasan S, Ai X, Lo TWS, Gilson A, Zou M, Zou K, Kim H, Yang M, Pushpanathan K, Yew SME, Loke WT, Goh JHL, Chen Y, Kong Y, Fu EY, Ong M, Nwanyanwu K, Dave A, Li KZ, Sun CH, Chia M, Yang GD, Wong WM, Chen DZ, Liu D, Singer M, Antaki F, Del Priore LV, Jonas JB, Adelman R, Chen Q, Tham YC",2026,Ophthalmology science,0.9960897
10,"Essential requirements for the governance and management of data trusts, data repositories, and other data collaborations.","Paprica PA, Crichlow M, Maillet DC, Kesselring S, Pow C, Scarnecchia TP, Schull MJ, Cartagena RG, Cumyn A, Dostmohammad S, Elliston KO, Greiver M, Nelson AH, Hill SL, Isaranuwatchai W, Loukipoudis E, McDonald JT, McLaughlin JR, Rabinowitz A, Razak F, Verhulst SG, Verma AA, Victor JC, Young A, Yu J, McGrail K",2023,International journal of population data science,0.99427587
11,Cocreation of a Digital Tool for Proactive End-of-Life Communication: Protocol for a Participatory Action Research Project.,"Eneslätt M, Dupont C, Savolainen E, Fjällström P, Goliath I",2026,JMIR research protocols,0.99615276
11,Provision of interpreting support for cross-cultural communication in UK maternity services: A Freedom of Information request.,"MacLellan J, McNiven A, Kenyon S",2023,International journal of nursing studies advances,0.9955594
