topic_id,word,probability
0,technology,0.015950955
0,patient,0.014892747
0,digital,0.012863728
0,review,0.012811216
0,care,0.01155862
0,clinical,0.010505052
0,healthcare,0.0096289385
0,health,0.007917061
0,evidence,0.0068117687
0,outcome,0.0067795734
1,cell,0.020755548
1,gene,0.01451485
1,interaction,0.012807022
1,disease,0.011807363
1,protein,0.010964221
1,immune,0.010567617
1,target,0.00990022
1,molecular,0.009692499
1,analysis,0.009034662
1,pathway,0.0088877315
2,patient,0.023276323
2,participant,0.009697798
2,mortality,0.008231883
2,doctor,0.007387976
2,trust,0.0073499344
2,treatment,0.006731036
2,age,0.0065170573
2,level,0.0064315517
2,online,0.00637652
2,group,0.0062724454
3,patient,0.015058752
3,risk,0.013140021
3,model,0.012431775
3,analysis,0.0076498375
3,age,0.007325013
3,using,0.006984795
3,test,0.006652333
3,outcome,0.005981634
3,machine,0.005690316
3,index,0.0055905054
4,health,0.038997326
4,public,0.012182684
4,healthcare,0.012128393
4,digital,0.010556498
4,community,0.009575922
4,intervention,0.008414689
4,found,0.007814655
4,abstract,0.007086979
4,mental,0.006978269
4,social,0.006744528
5,hiv,0.014447059
5,art,0.010956213
5,spatial,0.009474325
5,infection,0.008350278
5,lung,0.00827532
5,anti,0.007829071
5,increased,0.0069840406
5,health,0.006738134
5,structure,0.006166521
5,cytokine,0.0061096796
6,social,0.029612565
6,digital,0.028751064
6,health,0.02667028
6,medium,0.018077727
6,adult,0.013367289
6,older,0.0106781125
6,use,0.01050139
6,online,0.0093070995
6,effect,0.009198025
6,life,0.007261175
7,care,0.014926772
7,patient,0.013458573
7,health,0.0072465753
7,service,0.0072335415
7,use,0.006789042
7,research,0.0064204074
7,disease,0.0057053524
7,challenge,0.0054798573
7,digital,0.005340047
7,data,0.005297501
8,model,0.028494649
8,data,0.01451368
8,clinical,0.014236316
8,accuracy,0.011467423
8,learning,0.011401237
8,performance,0.010208266
8,patient,0.010198807
8,using,0.009124182
8,based,0.008875265
8,feature,0.008253789
9,rna,0.015379323
9,kidney,0.012021405
9,influenza,0.0114952335
9,virus,0.011340202
9,metabolic,0.011164686
9,malaria,0.009827328
9,disease,0.0089416215
9,viral,0.008749106
9,drug,0.008495335
9,letter,0.0073249205
10,mhealth,0.022319436
10,data,0.01174518
10,user,0.011358647
10,app,0.010975931
10,mobile,0.0097602345
10,gpt,0.008466572
10,using,0.0072169104
10,infant,0.006850395
10,llm,0.0067451587
10,question,0.0067137377
11,data,0.018063294
11,health,0.01530195
11,digital,0.012650052
11,analysis,0.011038009
11,research,0.0089025935
11,qualitative,0.008851559
11,care,0.008631734
11,implementation,0.0084017115
11,using,0.00828611
11,information,0.00737966
12,quality,0.0136528015
12,health,0.013463808
12,video,0.010205358
12,treatment,0.009935691
12,review,0.008461966
12,clinical,0.008447618
12,evidence,0.007563433
12,intervention,0.0074987924
12,trial,0.007449567
12,using,0.007380658
13,patient,0.014752197
13,monitoring,0.010905432
13,disease,0.0076032938
13,high,0.0073776077
13,using,0.0069313496
13,factor,0.0064186607
13,rate,0.005852742
13,heart,0.005738291
13,cvd,0.0055613373
13,month,0.0054497835
14,health,0.024174271
14,digital,0.015327881
14,participant,0.012284696
14,child,0.009912025
14,among,0.009869446
14,intervention,0.009747807
14,literacy,0.009122976
14,group,0.00889623
14,use,0.008621735
14,using,0.0075238636
15,data,0.015874583
15,intelligence,0.012252222
15,system,0.012180694
15,artificial,0.01120236
15,challenge,0.009771841
15,human,0.0084487
15,model,0.008167585
15,approach,0.007674767
15,health,0.007130598
15,application,0.006957111
16,llm,0.015779138
16,chatgpt,0.010936013
16,human,0.009852705
16,using,0.008846897
16,performance,0.008262496
16,accuracy,0.0071004736
16,language,0.0070353798
16,medical,0.006846314
16,model,0.0064783143
16,task,0.0064231493
17,patient,0.02960688
17,website,0.010938691
17,health,0.009750297
17,readability,0.008683285
17,hospital,0.00750694
17,orthopaedic,0.006879371
17,exercise,0.0068067843
17,grade,0.0065476573
17,model,0.006385729
17,level,0.00567751
18,cancer,0.036990654
18,patient,0.019719534
18,risk,0.015511482
18,treatment,0.0131272515
18,clinical,0.010534702
18,imaging,0.010013767
18,trial,0.009222943
18,tumor,0.009209893
18,therapy,0.007502121
18,approach,0.007121906
19,data,0.020885231
19,patient,0.014674917
19,medical,0.014470919
19,model,0.011383436
19,healthcare,0.009994591
19,privacy,0.008763624
19,based,0.008244576
19,provider,0.006339843
19,physician,0.00580671
19,protection,0.0056277188
