kw_a,kw_b,weight
computer science,health care,544
artificial intelligence,computer science,517
law,political science,502
computer science,medicine,433
health care,medicine,416
health care,political science,416
health care,law,411
computer science,political science,393
computer science,law,373
computer science,psychology,361
economic growth,economics,338
health care,psychology,332
economics,health care,329
economic growth,health care,325
medicine,political science,325
medicine,psychology,323
law,medicine,315
computer science,data science,311
computer science,economics,311
political science,psychology,288
computer science,economic growth,279
law,psychology,277
computer science,knowledge management,262
computer science,computer security,260
artificial intelligence,health care,229
medicine,pathology,224
computer science,world wide web,216
computer science,engineering,215
medicine,nursing,211
health care,knowledge management,200
artificial intelligence,medicine,199
economics,medicine,199
business,computer science,199
economic growth,medicine,191
artificial intelligence,data science,188
computer science,operating system,188
data science,health care,175
artificial intelligence,psychology,174
health care,nursing,173
health care,health literacy,170
digital health,health care,170
pedagogy,psychology,169
artificial intelligence,economics,160
knowledge management,political science,158
computer science,machine learning,158
health literacy,medicine,155
artificial intelligence,political science,155
health care,pedagogy,154
computer science,pathology,152
knowledge management,law,151
medical education,medicine,151
artificial intelligence,law,149
biology,computer science,149
medicine,pedagogy,147
business,health care,141
nursing,political science,141
health literacy,psychology,139
disease,medicine,139
artificial intelligence,economic growth,139
law,nursing,137
computer science,nursing,136
digital health,medicine,136
computer security,health care,133
artificial intelligence,machine learning,133
nursing,psychology,132
health care,medical education,131
economics,psychology,130
health literacy,political science,129
health literacy,law,129
computer science,internet privacy,128
literacy,pedagogy,128
pedagogy,political science,128
medical education,psychology,128
political science,public relations,127
business,political science,126
health care,literacy,126
health care,world wide web,126
artificial intelligence,knowledge management,125
digital health,political science,124
health care,pathology,124
computer science,digital health,124
data science,medicine,124
data science,economics,124
law,pedagogy,124
disease,pathology,123
literacy,psychology,122
literacy,medicine,122
digital health,law,120
artificial intelligence,computer security,119
health literacy,literacy,119
health literacy,pedagogy,119
infectious disease (medical specialty),medicine,118
coronavirus disease 2019 (covid-19),disease,118
economic growth,psychology,118
coronavirus disease 2019 (covid-19),medicine,118
disease,infectious disease (medical specialty),118
coronavirus disease 2019 (covid-19),infectious disease (medical specialty),117
knowledge management,psychology,116
business,law,116
knowledge management,medicine,114
data science,economic growth,114
pathology,political science,114
computer science,pedagogy,113
computer science,mathematics,112
artificial intelligence,engineering,112
psychology,social psychology,110
artificial intelligence,operating system,108
