source,target,weight
artificial intelligence,computer science,517
artificial intelligence,computer security,119
artificial intelligence,confidentiality,6
artificial intelligence,documentation,3
artificial intelligence,economic growth,139
artificial intelligence,economics,160
artificial intelligence,generative grammar,27
artificial intelligence,health care,229
artificial intelligence,intervention (counseling),6
artificial intelligence,medicine,199
artificial intelligence,nursing,46
artificial intelligence,operating system,108
artificial intelligence,patient safety,7
artificial intelligence,process (computing),36
artificial intelligence,programming language,44
artificial intelligence,software deployment,22
artificial intelligence,software engineering,16
artificial intelligence,clinical decision support system,20
artificial intelligence,data science,188
artificial intelligence,decision support system,28
artificial intelligence,digital health,22
artificial intelligence,health informatics,9
artificial intelligence,interpretability,31
artificial intelligence,knowledge management,125
artificial intelligence,mhealth,4
artificial intelligence,psychological intervention,26
artificial intelligence,telemedicine,13
artificial intelligence,law,149
artificial intelligence,pedagogy,35
artificial intelligence,political science,155
artificial intelligence,psychology,174
artificial intelligence,transformative learning,16
artificial intelligence,database,30
artificial intelligence,human–computer interaction,51
artificial intelligence,usability,4
artificial intelligence,workflow,23
artificial intelligence,business,67
artificial intelligence,corporate governance,5
artificial intelligence,finance,16
artificial intelligence,process management,11
artificial intelligence,public health,17
artificial intelligence,cloud computing,24
artificial intelligence,energy (signal processing),3
artificial intelligence,machine learning,133
artificial intelligence,mathematics,72
artificial intelligence,statistics,17
artificial intelligence,black box,15
artificial intelligence,image (mathematics),4
artificial intelligence,accountability,9
artificial intelligence,applications of artificial intelligence,42
artificial intelligence,big data,58
artificial intelligence,data mining,54
artificial intelligence,deep learning,38
artificial intelligence,domain (mathematical analysis),20
artificial intelligence,mathematical analysis,26
artificial intelligence,pathology,69
artificial intelligence,precision medicine,12
artificial intelligence,transparency (behavior),55
artificial intelligence,biology,71
artificial intelligence,epistemology,33
artificial intelligence,evolutionary biology,4
artificial intelligence,function (biology),4
artificial intelligence,philosophy,55
artificial intelligence,quality (philosophy),15
artificial intelligence,medical emergency,4
artificial intelligence,radiology,9
artificial intelligence,engineering,112
artificial intelligence,engineering ethics,34
artificial intelligence,medical education,33
artificial intelligence,biochemistry,8
artificial intelligence,chemistry,10
artificial intelligence,clarity,3
artificial intelligence,empathy,3
artificial intelligence,psychiatry,37
artificial intelligence,management science,27
artificial intelligence,perspective (graphical),28
artificial intelligence,sociology,36
artificial intelligence,human–robot interaction,4
artificial intelligence,robot,26
artificial intelligence,bioinformatics,12
artificial intelligence,modalities,4
artificial intelligence,personalized medicine,6
artificial intelligence,social science,18
artificial intelligence,healthcare system,11
artificial intelligence,physics,38
artificial intelligence,power (physics),15
artificial intelligence,quantum mechanics,25
artificial intelligence,reliability (semiconductor),12
artificial intelligence,internet of things,27
artificial intelligence,world wide web,67
artificial intelligence,alternative medicine,12
artificial intelligence,architecture,4
artificial intelligence,art,11
artificial intelligence,blockchain,7
artificial intelligence,distributed computing,11
artificial intelligence,support vector machine,9
artificial intelligence,the internet,28
artificial intelligence,visual arts,9
artificial intelligence,federated learning,5
artificial intelligence,internet privacy,24
artificial intelligence,health literacy,6
artificial intelligence,literacy,10
artificial intelligence,autonomy,11
artificial intelligence,curriculum,7
artificial intelligence,delphi method,9
artificial intelligence,digital literacy,4
artificial intelligence,cognitive science,9
artificial intelligence,context (archaeology),30
artificial intelligence,paleontology,30
artificial intelligence,public relations,25
artificial intelligence,relevance (law),7
artificial intelligence,scope (computer science),9
artificial intelligence,bubble,8
artificial intelligence,interface (matter),8
artificial intelligence,maximum bubble pressure method,8
artificial intelligence,key (lock),11
artificial intelligence,electrical engineering,16
artificial intelligence,transformer,6
artificial intelligence,voltage,6
artificial intelligence,clinical trial,8
artificial intelligence,leverage (statistics),16
artificial intelligence,ecology,9
artificial intelligence,repurposing,3
artificial intelligence,mathematics education,4
artificial intelligence,multimedia,6
artificial intelligence,edge computing,8
artificial intelligence,embedded system,40
artificial intelligence,enhanced data rates for gsm evolution,9
artificial intelligence,wearable computer,26
artificial intelligence,wearable technology,15
artificial intelligence,medical imaging,5
artificial intelligence,autism,4
artificial intelligence,autism spectrum disorder,3
artificial intelligence,government (linguistics),6
artificial intelligence,linguistics,25
artificial intelligence,macroeconomics,6
artificial intelligence,mental health,16
artificial intelligence,psychotherapist,10
artificial intelligence,virtual reality,7
artificial intelligence,distrust,4
artificial intelligence,botany,12
artificial intelligence,disease,32
artificial intelligence,infectious disease (medical specialty),22
artificial intelligence,risk analysis (engineering),36
artificial intelligence,field (mathematics),34
artificial intelligence,popularity,8
artificial intelligence,pure mathematics,34
artificial intelligence,social psychology,37
artificial intelligence,chatbot,14
artificial intelligence,natural language processing,10
artificial intelligence,identification (biology),11
artificial intelligence,intensive care medicine,14
artificial intelligence,focus (optics),4
artificial intelligence,optics,8
artificial intelligence,antibiotic resistance,3
artificial intelligence,antibiotics,3
artificial intelligence,multidisciplinary approach,3
artificial intelligence,nanoparticle,3
artificial intelligence,algorithm,13
artificial intelligence,microeconomics,3
artificial intelligence,preference,3
artificial intelligence,environmental health,12
artificial intelligence,gene,6
artificial intelligence,genetics,6
artificial intelligence,developmental psychology,7
artificial intelligence,neuroscience,24
artificial intelligence,perception,16
artificial intelligence,health professionals,4
artificial intelligence,healthcare industry,5
artificial intelligence,medical physics,3
artificial intelligence,cyber-physical system,6
artificial intelligence,telecommunications,29
artificial intelligence,wireless,15
artificial intelligence,position paper,3
artificial intelligence,trustworthiness,18
artificial intelligence,internal medicine,22
artificial intelligence,marketing,18
artificial intelligence,information privacy,5
artificial intelligence,reinforcement learning,5
artificial intelligence,scalability,8
artificial intelligence,haptic technology,4
artificial intelligence,parallel computing,7
artificial intelligence,simulation,4
artificial intelligence,tactile sensor,6
artificial intelligence,engineering management,5
artificial intelligence,ehealth,3
artificial intelligence,archaeology,9
artificial intelligence,history,6
artificial intelligence,natural (archaeology),4
artificial intelligence,digital library,3
artificial intelligence,medical diagnosis,8
artificial intelligence,medline,18
artificial intelligence,scopus,13
artificial intelligence,social media,8
artificial intelligence,geometry,5
artificial intelligence,inclusion (mineral),4
artificial intelligence,set (abstract data type),15
artificial intelligence,cognition,5
artificial intelligence,cognitive psychology,12
artificial intelligence,convolutional neural network,8
artificial intelligence,emerging technologies,13
artificial intelligence,best practice,3
artificial intelligence,management,8
artificial intelligence,geography,5
artificial intelligence,personalization,5
artificial intelligence,breast cancer,3
artificial intelligence,cancer,5
artificial intelligence,narrative,4
artificial intelligence,analytics,9
artificial intelligence,sentiment analysis,3
artificial intelligence,mechanical engineering,21
artificial intelligence,scale (ratio),4
artificial intelligence,variety (cybernetics),21
artificial intelligence,work (physics),9
artificial intelligence,limiting,3
artificial intelligence,applied psychology,9
artificial intelligence,clinical psychology,3
artificial intelligence,politics,6
artificial intelligence,feature (linguistics),4
artificial intelligence,communication,7
artificial intelligence,conversation,3
artificial intelligence,empirical research,3
artificial intelligence,qualitative research,4
artificial intelligence,adversarial system,4
artificial intelligence,bridge (graph theory),6
artificial intelligence,robotics,9
artificial intelligence,artificial neural network,19
artificial intelligence,order (exchange),8
artificial intelligence,health communication,3
artificial intelligence,information and communications technology,7
artificial intelligence,pharmacology,3
artificial intelligence,digital transformation,6
artificial intelligence,population,12
artificial intelligence,service (business),6
artificial intelligence,mechanism (biology),3
artificial intelligence,data sharing,5
artificial intelligence,reliability engineering,4
artificial intelligence,robustness (evolution),5
artificial intelligence,authentication (law),3
artificial intelligence,safer,3
artificial intelligence,computer network,16
artificial intelligence,decision tree,10
artificial intelligence,server,3
artificial intelligence,mental healthcare,4
artificial intelligence,materials science,12
artificial intelligence,harm,4
artificial intelligence,business intelligence,3
artificial intelligence,intelligent decision support system,3
artificial intelligence,systematic review,9
artificial intelligence,single point of failure,3
artificial intelligence,nanotechnology,8
artificial intelligence,industry 4.0,5
artificial intelligence,state (computer science),3
artificial intelligence,flexibility (engineering),4
artificial intelligence,terminology,4
artificial intelligence,equity (law),4
artificial intelligence,health records,4
artificial intelligence,systems engineering,6
artificial intelligence,clinical decision making,3
artificial intelligence,aerospace engineering,6
artificial intelligence,productivity,3
artificial intelligence,family medicine,5
artificial intelligence,task (project management),5
artificial intelligence,composite material,7
artificial intelligence,face (sociological concept),3
artificial intelligence,sustainability,3
artificial intelligence,edge device,3
artificial intelligence,raw data,4
artificial intelligence,electronics,6
artificial intelligence,triboelectric effect,4
artificial intelligence,human intelligence,5
artificial intelligence,automation,8
artificial intelligence,intrusion detection system,3
artificial intelligence,protocol (science),5
artificial intelligence,data collection,3
artificial intelligence,openness to experience,3
artificial intelligence,mobile device,3
artificial intelligence,encryption,3
artificial intelligence,salient,4
artificial intelligence,affect (linguistics),3
artificial intelligence,metaverse,4
artificial intelligence,augmented reality,3
artificial intelligence,coronavirus disease 2019 (covid-19),21
artificial intelligence,pandemic,14
artificial intelligence,web of science,4
artificial intelligence,mental illness,3
artificial intelligence,biomedicine,3
artificial intelligence,activity recognition,4
artificial intelligence,feature extraction,3
artificial intelligence,guideline,5
artificial intelligence,class (philosophy),3
artificial intelligence,thermodynamics,3
artificial intelligence,value (mathematics),5
artificial intelligence,fidelity,4
artificial intelligence,generalizability theory,4
artificial intelligence,smart city,3
artificial intelligence,wireless network,3
artificial intelligence,cardiology,3
artificial intelligence,clinical practice,3
artificial intelligence,classifier (uml),5
artificial intelligence,physical therapy,3
artificial intelligence,random forest,7
artificial intelligence,natural language,4
artificial intelligence,operations management,4
artificial intelligence,wireless sensor network,3
artificial intelligence,privacy by design,3
artificial intelligence,checklist,7
artificial intelligence,digital revolution,3
artificial intelligence,dementia,3
artificial intelligence,exploit,3
artificial intelligence,2019-20 coronavirus outbreak,3
artificial intelligence,outbreak,3
artificial intelligence,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),4
artificial intelligence,virology,3
artificial intelligence,consolidated standards of reporting trials,3
computer science,computer security,260
computer science,confidentiality,14
computer science,documentation,7
computer science,economic growth,279
computer science,economics,311
computer science,generative grammar,27
computer science,health care,544
computer science,intervention (counseling),9
computer science,medicine,433
computer science,nursing,136
computer science,operating system,188
computer science,patient safety,9
computer science,process (computing),44
computer science,programming language,71
computer science,software deployment,35
computer science,software engineering,29
computer science,clinical decision support system,21
computer science,data science,311
computer science,decision support system,29
computer science,digital health,124
computer science,health informatics,22
computer science,interpretability,31
computer science,knowledge management,262
computer science,mhealth,21
computer science,psychological intervention,67
computer science,telemedicine,50
computer science,curriculum,15
computer science,descriptive statistics,4
computer science,digital literacy,39
computer science,digital transformation,15
computer science,mathematics,112
computer science,mathematics education,10
computer science,medical education,94
computer science,pedagogy,113
computer science,psychology,361
computer science,statistics,30
computer science,world wide web,216
computer science,law,373
computer science,political science,393
computer science,transformative learning,20
computer science,alternative medicine,36
computer science,autonomy,17
computer science,business,199
computer science,corporate governance,14
computer science,data governance,5
computer science,data quality,5
computer science,data sharing,17
computer science,finance,32
computer science,information privacy,23
computer science,internet privacy,128
computer science,marketing,52
computer science,pathology,152
computer science,service (business),15
computer science,direct anonymous attestation,3
computer science,engineering,215
computer science,engineering ethics,64
computer science,trusted computing,4
computer science,database,54
computer science,transparency (behavior),81
computer science,workflow,34
computer science,human–computer interaction,94
computer science,usability,13
computer science,biology,149
computer science,context (archaeology),84
computer science,paleontology,77
computer science,public relations,99
computer science,safeguarding,6
computer science,process management,25
computer science,public health,55
computer science,archaeology,30
computer science,cinahl,8
computer science,ehealth,34
computer science,geography,29
computer science,health literacy,85
computer science,linguistics,50
computer science,literacy,70
computer science,philosophy,101
computer science,terminology,6
computer science,mental health,39
computer science,psychotherapist,24
computer science,healthcare system,22
computer science,machine learning,158
computer science,bioinformatics,20
computer science,personalized medicine,9
computer science,cloud computing,58
computer science,computer network,49
computer science,environmental health,56
computer science,resource (disambiguation),9
computer science,set (abstract data type),25
computer science,digital divide,19
computer science,information and communications technology,23
computer science,mechanical engineering,41
computer science,work (physics),22
computer science,agency (philosophy),4
computer science,social science,44
computer science,sociology,90
computer science,energy (signal processing),5
computer science,black box,15
computer science,image (mathematics),4
computer science,accountability,19
computer science,applications of artificial intelligence,42
computer science,big data,92
computer science,data mining,78
computer science,deep learning,38
computer science,domain (mathematical analysis),24
computer science,mathematical analysis,41
computer science,precision medicine,17
computer science,epistemology,55
computer science,evolutionary biology,5
computer science,function (biology),5
computer science,quality (philosophy),33
computer science,medical emergency,10
computer science,patient care,3
computer science,radiology,10
computer science,credibility,3
computer science,health professionals,14
computer science,healthcare service,5
computer science,biochemistry,11
computer science,chemistry,16
computer science,clarity,4
computer science,empathy,5
computer science,psychiatry,64
computer science,disease,84
computer science,embedded system,81
computer science,geodesy,4
computer science,telehealth,15
computer science,wearable computer,60
computer science,wearable technology,41
computer science,developmental psychology,16
computer science,generalizability theory,6
computer science,harm,8
computer science,management science,35
computer science,social psychology,91
computer science,perspective (graphical),28
