title,authors,pub_year,journal,doi,pmid,abstract,country,keywords,raw_affiliation_recovered
Intelligent Clinical Documentation: Harnessing Generative AI for Patient-Centric Clinical Note Generation,"Anjanava Biswas, Wrick Talukdar",2024,International Journal of Innovative Science and Research Technology (IJISRT),https://doi.org/10.38124/ijisrt/ijisrt24may1483,,"Comprehensive clinical documentation is crucial for effective healthcare delivery, yet it poses a significant burden on healthcare professionals, leading to burnout, increased medical errors, and compromised patient safety. This paper explores the potential of generative AI (Artificial Intelligence) to streamline the clinical documentation process, specifically focusing on generating SOAP (Subjective, Objective, Assessment, Plan) and BIRP (Behavior, Intervention, Response, Plan) notes. We present a case study demonstrating the application of natural language processing (NLP) and automatic speech recognition (ASR) technologies to transcribe patient-clinician interactions, coupled with advanced prompting techniques to generate draft clinical notes using large language models (LLMs). The study highlights the benefits of this approach, including time savings, improved documentation quality, and enhanced patient-centered care. Additionally, we discuss ethical considerations, such as maintaining patient confidentiality and addressing model biases, underscoring the need for responsible deployment of generative AI in healthcare settings. The findings suggest that generative AI has the potential to revolutionize clinical documentation practices, alleviating administrative burdens and enabling healthcare professionals to focus more on direct patient care.",Unknown,"Documentation, Health care, Generative grammar, Confidentiality, Process (computing), Software deployment, Intervention (counseling), Patient safety, Computer science, Medicine, Artificial intelligence, Nursing, Computer security, Software engineering, Operating system, Programming language, Economic growth, Economics",
Designing interpretable ML system to enhance trust in healthcare: A systematic review to proposed responsible clinician-AI-collaboration framework,"Elham Nasarian, Roohallah Alizadehsani, U. Rajendra Acharya, Kwok‐Leung Tsui",2024,Information Fusion,https://doi.org/10.1016/j.inffus.2024.102412,,No abstract available,US,"Interpretability, Clinical decision support system, Computer science, Health care, Decision support system, mHealth, Knowledge management, Digital health, Health informatics, Process (computing), Artificial intelligence, Telemedicine, Data science, Psychological intervention, Medicine, Nursing, Economic growth, Operating system, Economics",
"Digital proficiency: assessing knowledge, attitudes, and skills in digital transformation, health literacy, and artificial intelligence among university nursing students","Ebtsam Aly Abou Hashish, Hend Alnajjar",2024,BMC Medical Education,https://doi.org/10.1186/s12909-024-05482-3,https://pubmed.ncbi.nlm.nih.gov/38715005,No abstract available,SA,"Curriculum, Digital literacy, Medical education, Digital transformation, Psychology, Health care, Descriptive statistics, Computer literacy, Nursing, Medicine, Computer science, Mathematics education, Pedagogy, Mathematics, Economic growth, Economics, Statistics, World Wide Web",
"Transformative Potential of AI in Healthcare: Definitions, Applications, and Navigating the Ethical Landscape and Public Perspectives","Molly Bekbolatova, Jonathan Mayer, Chi Wei Ong, Milan Toma",2024,Healthcare,https://doi.org/10.3390/healthcare12020125,https://pubmed.ncbi.nlm.nih.gov/38255014,"Artificial intelligence (AI) has emerged as a crucial tool in healthcare with the primary aim of improving patient outcomes and optimizing healthcare delivery. By harnessing machine learning algorithms, natural language processing, and computer vision, AI enables the analysis of complex medical data. The integration of AI into healthcare systems aims to support clinicians, personalize patient care, and enhance population health, all while addressing the challenges posed by rising costs and limited resources. As a subdivision of computer science, AI focuses on the development of advanced algorithms capable of performing complex tasks that were once reliant on human intelligence. The ultimate goal is to achieve human-level performance with improved efficiency and accuracy in problem-solving and task execution, thereby reducing the need for human intervention. Various industries, including engineering, media/entertainment, finance, and education, have already reaped significant benefits by incorporating AI systems into their operations. Notably, the healthcare sector has witnessed rapid growth in the utilization of AI technology. Nevertheless, there remains untapped potential for AI to truly revolutionize the industry. It is important to note that despite concerns about job displacement, AI in healthcare should not be viewed as a threat to human workers. Instead, AI systems are designed to augment and support healthcare professionals, freeing up their time to focus on more complex and critical tasks. By automating routine and repetitive tasks, AI can alleviate the burden on healthcare professionals, allowing them to dedicate more attention to patient care and meaningful interactions. However, legal and ethical challenges must be addressed when embracing AI technology in medicine, alongside comprehensive public education to ensure widespread acceptance.",US,"Transformative learning, Health care, Computer science, Artificial intelligence, Knowledge management, Psychology, Political science, Law, Pedagogy",
"Balancing Privacy and Progress: A Review of Privacy Challenges, Systemic Oversight, and Patient Perceptions in AI-Driven Healthcare","S. Williamson, Victor R. Prybutok",2024,Applied Sciences,https://doi.org/10.3390/app14020675,,"Integrating Artificial Intelligence (AI) in healthcare represents a transformative shift with substantial potential for enhancing patient care. This paper critically examines this integration, confronting significant ethical, legal, and technological challenges, particularly in patient privacy, decision-making autonomy, and data integrity. A structured exploration of these issues focuses on Differential Privacy as a critical method for preserving patient confidentiality in AI-driven healthcare systems. We analyze the balance between privacy preservation and the practical utility of healthcare data, emphasizing the effectiveness of encryption, Differential Privacy, and mixed-model approaches. The paper navigates the complex ethical and legal frameworks essential for AI integration in healthcare. We comprehensively examine patient rights and the nuances of informed consent, along with the challenges of harmonizing advanced technologies like blockchain with the General Data Protection Regulation (GDPR). The issue of algorithmic bias in healthcare is also explored, underscoring the urgent need for effective bias detection and mitigation strategies to build patient trust. The evolving roles of decentralized data sharing, regulatory frameworks, and patient agency are discussed in depth. Advocating for an interdisciplinary, multi-stakeholder approach and responsive governance, the paper aims to align healthcare AI with ethical principles, prioritize patient-centered outcomes, and steer AI towards responsible and equitable enhancements in patient care.",US,"Health care, Autonomy, Confidentiality, Transformative learning, Information privacy, Data sharing, Data governance, Corporate governance, Business, Internet privacy, Knowledge management, Political science, Psychology, Computer science, Medicine, Computer security, Law, Service (business), Data quality, Marketing, Alternative medicine, Pedagogy, Pathology, Finance",
"Advancing Precision Medicine: A Review of Innovative In Silico Approaches for Drug Development, Clinical Pharmacology and Personalized Healthcare","Lara Marques, Bárbara Costa, Mariana Pereira, Abigail Silva, Joana Santos, Leonor Saldanha, Isabel Silva, Paulo Magalhães, Stephan Schmidt, Nuno Vale",2024,Pharmaceutics,https://doi.org/10.3390/pharmaceutics16030332,https://pubmed.ncbi.nlm.nih.gov/38543226,"The landscape of medical treatments is undergoing a transformative shift. Precision medicine has ushered in a revolutionary era in healthcare by individualizing diagnostics and treatments according to each patient's uniquely evolving health status. This groundbreaking method of tailoring disease prevention and treatment considers individual variations in genes, environments, and lifestyles. The goal of precision medicine is to target the ""five rights"": the right patient, the right drug, the right time, the right dose, and the right route. In this pursuit, in silico techniques have emerged as an anchor, driving precision medicine forward and making this a realistic and promising avenue for personalized therapies. With the advancements in high-throughput DNA sequencing technologies, genomic data, including genetic variants and their interactions with each other and the environment, can be incorporated into clinical decision-making. Pharmacometrics, gathering pharmacokinetic (PK) and pharmacodynamic (PD) data, and mathematical models further contribute to drug optimization, drug behavior prediction, and drug-drug interaction identification. Digital health, wearables, and computational tools offer continuous monitoring and real-time data collection, enabling treatment adjustments. Furthermore, the incorporation of extensive datasets in computational tools, such as electronic health records (EHRs) and omics data, is also another pathway to acquire meaningful information in this field. Although they are fairly new, machine learning (ML) algorithms and artificial intelligence (AI) techniques are also resources researchers use to analyze big data and develop predictive models. This review explores the interplay of these multiple in silico approaches in advancing precision medicine and fostering individual healthcare. Despite intrinsic challenges, such as ethical considerations, data protection, and the need for more comprehensive research, this marks a new era of patient-centered healthcare. Innovative in silico techniques hold the potential to reshape the future of medicine for generations to come.",PT,"In silico, Personalized medicine, Drug development, Precision medicine, Health care, Medicine, Drug, Pharmacology, Clinical pharmacology, Systems pharmacology, Medical physics, Computational biology, Bioinformatics, Biology, Pathology, Biochemistry, Gene, Economics, Economic growth",
Towards secure and trusted AI in healthcare: A systematic review of emerging innovations and ethical challenges,"Muhammad Mohsin Khan, Nirav N. Shah, Nissar Shaikh, Abdulnasser Thabet, Talal Alrabayah, Sirajeddin Belkhair",2024,International Journal of Medical Informatics,https://doi.org/10.1016/j.ijmedinf.2024.105780,https://pubmed.ncbi.nlm.nih.gov/39753062,No abstract available,QA,"Health care, Direct Anonymous Attestation, Computer science, Internet privacy, Engineering ethics, Computer security, Knowledge management, Psychology, Trusted Computing, Political science, Engineering, Law",
Challenges and strategies for wide-scale artificial intelligence (AI) deployment in healthcare practices: A perspective for healthcare organizations,Pouyan Esmaeilzadeh,2024,Artificial Intelligence in Medicine,https://doi.org/10.1016/j.artmed.2024.102861,https://pubmed.ncbi.nlm.nih.gov/38555850,No abstract available,US,"Health care, Workflow, Knowledge management, Computer science, Transparency (behavior), Business, Computer security, Database, Economic growth, Economics",
How Explainable Artificial Intelligence Can Increase or Decrease Clinicians’ Trust in AI Applications in Health Care: Systematic Review,"Rikard Rosenbacke, Åsa Melhus, Martin McKee, David Stückler",2024,JMIR AI,https://doi.org/10.2196/53207,https://pubmed.ncbi.nlm.nih.gov/39476365,"Excessive trust in incorrect advice generated by AI can adversely impact clinical accuracy, just as can happen when correct advice is distrusted. Future research should focus on refining both cognitive and affect-based measures of trust and on developing strategies to achieve an appropriate balance in terms of trust, preventing both blind trust and undue skepticism. Optimizing trust in AI systems is essential for their effective integration into clinical practice.",DK,"Psychology, Health care, Artificial intelligence, Computer science, Data science, Political science, Law",
AI-Driven Clinical Decision Support Systems: An Ongoing Pursuit of Potential,"Malek Elhaddad, Sara Hamam",2024,Cureus,https://doi.org/10.7759/cureus.57728,https://pubmed.ncbi.nlm.nih.gov/38711724,"Clinical Decision Support Systems (CDSS) are essential tools in contemporary healthcare, enhancing clinicians' decisions and patient outcomes. The integration of artificial intelligence (AI) is now revolutionizing CDSS even further. This review delves into AI technologies transforming CDSS, their applications in healthcare decision-making, associated challenges, and the potential trajectory toward fully realizing AI-CDSS's potential. The review begins by laying the groundwork with a definition of CDSS and its function within the healthcare field. It then highlights the increasingly significant role that AI is playing in enhancing CDSS effectiveness and efficiency, underlining its evolving prominence in shaping healthcare practices. It examines the integration of AI technologies into CDSS, including machine learning algorithms like neural networks and decision trees, natural language processing, and deep learning. It also addresses the challenges associated with AI integration, such as interpretability and bias. We then shift to AI applications within CDSS, with real-life examples of AI-driven diagnostics, personalized treatment recommendations, risk prediction, early intervention, and AI-assisted clinical documentation. The review emphasizes user-centered design in AI-CDSS integration, addressing usability, trust, workflow, and ethical and legal considerations. It acknowledges prevailing obstacles and suggests strategies for successful AI-CDSS adoption, highlighting the need for workflow alignment and interdisciplinary collaboration. The review concludes by summarizing key findings, underscoring AI's transformative potential in CDSS, and advocating for continued research and innovation. It emphasizes the need for collaborative efforts to realize a future where AI-powered CDSS optimizes healthcare delivery and improves patient outcomes.",GB,"Clinical decision support system, Workflow, Interpretability, Usability, Artificial intelligence, Computer science, Health care, Transformative learning, Decision support system, Knowledge management, Data science, Psychology, Human–computer interaction, Political science, Database, Pedagogy, Law",
