title,authors,pub_year,journal,keywords,dominant_topic,topic_name,what_this_paper_does
Intelligent Clinical Documentation: Harnessing Generative AI for Patient-Centric Clinical Note Generation,"Anjanava Biswas, Wrick Talukdar",2024,International Journal of Innovative Science and Research Technology (IJISRT),"Documentation, Health care, Generative grammar, Confidentiality, Process (computing), Software deployment, Intervention (counseling), Patient safety, Computer science, Medicine, Artificial intelligence, Nursing, Computer security, Software engineering, Operating system, Programming language, Economic growth, Economics",19,Medical Data Modeling & Predictive Healthcare,"This paper explores the potential of generative AI (Artificial Intelligence) to streamline the clinical documentation process, specifically focusing on generating SOAP (Subjective, Objective, Assessment, Plan) and BIRP (Behavior, Intervention, Response, Plan) notes."
Designing interpretable ML system to enhance trust in healthcare: A systematic review to proposed responsible clinician-AI-collaboration framework,"Elham Nasarian, Roohallah Alizadehsani, U. Rajendra Acharya, Kwok‐Leung Tsui",2024,Information Fusion,"Interpretability, Clinical decision support system, Computer science, Health care, Decision support system, mHealth, Knowledge management, Digital health, Health informatics, Process (computing), Artificial intelligence, Telemedicine, Data science, Psychological intervention, Medicine, Nursing, Economic growth, Operating system, Economics",9,Viral Diseases & Molecular Medicine,No abstract available
"Digital proficiency: assessing knowledge, attitudes, and skills in digital transformation, health literacy, and artificial intelligence among university nursing students","Ebtsam Aly Abou Hashish, Hend Alnajjar",2024,BMC Medical Education,"Curriculum, Digital literacy, Medical education, Digital transformation, Psychology, Health care, Descriptive statistics, Computer literacy, Nursing, Medicine, Computer science, Mathematics education, Pedagogy, Mathematics, Economic growth, Economics, Statistics, World Wide Web",9,Viral Diseases & Molecular Medicine,No abstract available
"Transformative Potential of AI in Healthcare: Definitions, Applications, and Navigating the Ethical Landscape and Public Perspectives","Molly Bekbolatova, Jonathan Mayer, Chi Wei Ong, Milan Toma",2024,Healthcare,"Transformative learning, Health care, Computer science, Artificial intelligence, Knowledge management, Psychology, Political science, Law, Pedagogy",5,Infectious Diseases (HIV & Lung Infections),"The integration of AI into healthcare systems aims to support clinicians, personalize patient care, and enhance population health, all while addressing the challenges posed by rising costs and limited resources."
"Balancing Privacy and Progress: A Review of Privacy Challenges, Systemic Oversight, and Patient Perceptions in AI-Driven Healthcare","S. Williamson, Victor R. Prybutok",2024,Applied Sciences,"Health care, Autonomy, Confidentiality, Transformative learning, Information privacy, Data sharing, Data governance, Corporate governance, Business, Internet privacy, Knowledge management, Political science, Psychology, Computer science, Medicine, Computer security, Law, Service (business), Data quality, Marketing, Alternative medicine, Pedagogy, Pathology, Finance",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","This paper critically examines this integration, confronting significant ethical, legal, and technological challenges, particularly in patient privacy, decision-making autonomy, and data integrity."
"Advancing Precision Medicine: A Review of Innovative In Silico Approaches for Drug Development, Clinical Pharmacology and Personalized Healthcare","Lara Marques, Bárbara Costa, Mariana Pereira, Abigail Silva, Joana Santos, Leonor Saldanha, Isabel Silva, Paulo Magalhães, Stephan Schmidt, Nuno Vale",2024,Pharmaceutics,"In silico, Personalized medicine, Drug development, Precision medicine, Health care, Medicine, Drug, Pharmacology, Clinical pharmacology, Systems pharmacology, Medical physics, Computational biology, Bioinformatics, Biology, Pathology, Biochemistry, Gene, Economics, Economic growth",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","Furthermore, the incorporation of extensive datasets in computational tools, such as electronic health records (EHRs) and omics data, is also another pathway to acquire meaningful information in this field."
Towards secure and trusted AI in healthcare: A systematic review of emerging innovations and ethical challenges,"Muhammad Mohsin Khan, Nirav N. Shah, Nissar Shaikh, Abdulnasser Thabet, Talal Alrabayah, Sirajeddin Belkhair",2024,International Journal of Medical Informatics,"Health care, Direct Anonymous Attestation, Computer science, Internet privacy, Engineering ethics, Computer security, Knowledge management, Psychology, Trusted Computing, Political science, Engineering, Law",9,Viral Diseases & Molecular Medicine,No abstract available
Challenges and strategies for wide-scale artificial intelligence (AI) deployment in healthcare practices: A perspective for healthcare organizations,Pouyan Esmaeilzadeh,2024,Artificial Intelligence in Medicine,"Health care, Workflow, Knowledge management, Computer science, Transparency (behavior), Business, Computer security, Database, Economic growth, Economics",9,Viral Diseases & Molecular Medicine,No abstract available
How Explainable Artificial Intelligence Can Increase or Decrease Clinicians’ Trust in AI Applications in Health Care: Systematic Review,"Rikard Rosenbacke, Åsa Melhus, Martin McKee, David Stückler",2024,JMIR AI,"Psychology, Health care, Artificial intelligence, Computer science, Data science, Political science, Law",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","Future research should focus on refining both cognitive and affect-based measures of trust and on developing strategies to achieve an appropriate balance in terms of trust, preventing both blind trust and undue skepticism."
AI-Driven Clinical Decision Support Systems: An Ongoing Pursuit of Potential,"Malek Elhaddad, Sara Hamam",2024,Cureus,"Clinical decision support system, Workflow, Interpretability, Usability, Artificial intelligence, Computer science, Health care, Transformative learning, Decision support system, Knowledge management, Data science, Psychology, Human–computer interaction, Political science, Database, Pedagogy, Law",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","It then highlights the increasingly significant role that AI is playing in enhancing CDSS effectiveness and efficiency, underlining its evolving prominence in shaping healthcare practices."
